Cultura,Precipitação (mm dia 1),Umidade específica a 2 metros (g/kg),Umidade relativa a 2 metros (%),Temperatura a 2 metros (ºC),Rendimento
Soja,2.5,12.3,68,24.5,3.2
Milho,1.8,10.5,62,26.0,4.1
Trigo,3.2,14.1,72,20.0,2.8
Soja,2.0,11.8,65,25.0,3.5
Milho,2.8,13.0,70,23.5,3.9
Trigo,2.1,12.0,64,21.0,3.0
Soja,3.5,15.0,75,22.0,2.9
Milho,1.5,9.8,58,27.0,4.3
Trigo,2.9,13.5,71,19.5,2.7
Soja,2.2,12.5,66,24.0,3.4
Milho,2.4,11.2,63,25.5,4.0
Trigo,3.0,14.0,73,20.5,2.9
Soja,1.9,11.0,61,26.0,3.6
Milho,3.1,13.8,69,22.5,3.7
Trigo,2.6,12.8,67,21.5,3.1
Soja,2.7,13.2,70,23.0,3.3
Milho,2.3,10.8,60,26.5,4.2
Trigo,3.3,14.5,74,19.0,2.6
Soja,2.4,12.0,64,24.5,3.4
Milho,1.7,10.2,59,27.5,4.4
Trigo,2.8,13.0,68,20.0,2.8
Soja,3.0,14.2,72,22.5,3.1
Milho,2.6,12.5,66,24.0,3.8
Trigo,2.5,12.3,65,21.0,3.0
Soja,2.1,11.5,63,25.0,3.5
Milho,2.9,13.5,71,23.0,3.9
Trigo,3.1,14.2,73,19.5,2.7
Soja,1.8,10.8,60,26.0,3.7
Milho,2.2,11.0,62,25.0,4.0
Trigo,2.7,13.2,69,20.5,2.9
